language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,com/[PHONE]/ interesting-things-sir-ahmadu-bello,media_and_online,interesting things sir ahmadu bello,public_interest,,safe,TRUE,
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,org/pub_releases/2019-06/czi-czi061119,media_and_online,URL fragment,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Britannica (2019),education,encyclopedia,public_interest,,safe,FALSE,
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/senatormaajie/status/2016635480016642550,2026-01-28,[USER] [USER] Wlh tsoran mutane nakeji yanxu,culture_and_religion,fear of people,stereotypes,,sensitive,true
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Matsalar kayan aiki ne,livelihoods_and_work,work tools,public_interest,,safe,false,
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Al_Tangazee/status/2016688254863442031,2026-01-29,"[USER] Happy uwar marayu, Allah ya qara arziki da Wadata",culture_and_religion,Blessing and good wishes,public_interest,,safe,true
Hausa,latin,Nigeria,Kano,web_public,www.bbc.com/hausa,2026-02-19,Don haka sai wasu matasan Arewa suka yayata maudu'in #SecureNorth da #EndNorthBanditry a shafukan Twitter da Instagram sannan suka yi tattaki a titunan wasu jihohin kasar don jawo hankalin gwamnati da jami'an tsaro kan lamarin da suka ce yana nema ya durkusar da yankin arewa,media_and_online,Online activism for security,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Kyautata Dangantakar Najeriya da Ƙasashen Waje: Gwamnatin shugaba Ibrahim Badamasi Babangida ta inganta dangantakar Najeriya da ƙasashen waje kamar haka: Farfaɗo da dangantaka tsakanin Najeriya da Ingila: A watan Janairun 1986, shugaba Ibrahim Badamasi Babangida ya gyara dangantakar Najeriya da ƙasar Birtaniya bayan da ta taɓarɓare a lokacin gwamnatin da ta gabace ta",governance_civic,Nigeria's foreign relations,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Ku latsa alamar lasifikar da ƙasa don sauraron rahoton Ibrahim Isa:Video contentVideo caption: Rahoton Ibrahim Isa kan aikin gwamnati na mutum 774,000Rahoton Ibrahim Isa kan aikin gwamnati na mutum 774,000",governance_civic,Rahoton Ibrahim Isa,public_interest,,safe,false,
49c05cf7-afd3-4ff1-a563-b44b41e13f01,hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c98jg700y8et,2026-01-25T09:07:35.972Z,"Sabuwar majalisar ministocin ƙasar za ta iya dogaro da goyon bayan sabuwar majalisar dokokin ƙasar, ƙarƙashin jagorancin Patrick Achi, tsohon firaminista.",media_and_online,news_reporting,public_interest,,safe,true,,Collected from BBC Hausa
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Gwamnati ta ce ba ta biya kudin fansa ba ga wadanda suka sace yaran, wadanda har yanzu ta ce 'yan bindiga ne",governance_civic,government position on hostage situation,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Ta kamala makarantar ‘primary’ a shekarar 2001 kuma a wannan lokaci ne aka yi mata aure,education,education and marriage,public_interest,,safe,false,
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/cutelittlewolff/status/2016315264493646273,2026-01-28,Ina kaunar gidan hadi sam balaraba batayi gadon arziki ba,livelihoods_and_work,Wealth and money,public_interest,,safe,true
Hausa,latin,Nigeria,,web_public,www.bbc.com/hausa,2026-02-19,"(Express)Zinadine Zidane ya kamu da cutar koronaLeicester ta fasa ɗauko Eriksen, Dele Alli ya roƙi Spurs su bar shi ya tafiBrendan Rodgers wanda shi ne kocin Leicester City na iya dauko wanda zai gaji Jamie Vardy domin akwai Osdonne Edouard, dan wasan gaba na Celtic mai shekara 23",,,,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,""" Murmushi El-ameen ya kuma yi yace ""To ya na iya maka frnd?",household_and_care,Informal conversation,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Wa alaikumus salam, Alhaji Ibrahim barka da warhaka",culture_and_religion,Greeting,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Masana halayyar Dan Adam, kamar Farfesa Tukur Muhammad Baba na ganin cewa irin wannan shirin kan iya yin tasiri ga magance ayyukan ta'addanci",governance_civic,terrorism and counterterrorism,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"COM ya samo cewa yan fashin masu suna Andrew Adubu da Destiny Olu sun bukaci budurwar ta basu kudi daga wajen sana'arta na POS, sai dai lokacin da ta zura katin ATM da suka kawo a na'urar POS, sai suka zaro bindigar hannu kirar gida watau Pistol suka nuna mata cewa dole ta basu duk kudadenta da wayoyinta na salula",livelihoods_and_work,Armed robbery incident,hate_or_insult,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Sokoto,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Shehu Usmanu Ɗanfodiye Gidan Shehu na Ɗagel Gabatarwa Shehu Usmanu Ɗanfodiye, mutum ne mai tsoron Allah, masanin addini, wanda ya sake jadadda addinin Musulunci a cikin ƙarni na goma sha tara; ya kafa daular Musulunci mai faɗi, ƙarfi da kuma tasiri",culture_and_religion,Shehu Usmanu Ɗanfodiye,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Ya ƙarasa karatunsa na sikandire a makarantar Bexhill Girama da ke garin Bexhill ta Sussex a Ingila a cikin shekarar 1973,education,Education,public_interest,,safe,FALSE,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,""" Umma tace ""Ikon Allah, ana burin auren lafiyayya shi kuma ra'ayinsa kenan bawan Allah, Allah sarki naga ma kamar ciwo gareta a kafa don bbu takalma ku ka shigo"" lumshe ido Junaid yayi a hankali ya bude, shi kam ya shiga uku da matan ubansa, Mumy dai bata tanka su ba ta kalli fatima tace ""Xubo masu abinci fatima"" Guri Hajiya ta nema ta xauna tana cewa ""Tun da baki gare mu bari mu xauna"" Junaid ya watsa mata wani kallo ta gefen ido, Umma ma ta xauna tana cewa ""Toh baxa a kai ta gun Hajja ba tun da tana nan",culture_and_religion,Marriage and family,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Tank Yakasai, The Story of a Humble Life, An Autobiography, Volume I",culture_and_religion,autobiography,public_interest,,safe,FALSE,
