language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,id,notes
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Ya ce ya yi hakan ne a matsayin martani kan wani hari da aka kai wa wani sansanin sojoji da dakarun gwamnatin ke ciki a Tigray,governance_civic,Military action in Tigray,public_interest,ethnicity,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Bayan haka, hatta mutumin da baka taba ganinsa ba kana iya zumunci da shi muddin ka samu lambarsa ta hanyar da ta dace",culture_and_religion,social connections,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Jarumai Ibrahim Yamu Baba da Zainab Sambisa su ne suka hau waƙar a fim ɗin inda aka ga Zainab ta zo hutu a karkara, inda daga saukar ta a mota shi kuma ya fara bin ta a matsayin yana son ta da aure, ita kuma ta bayyana masa cewa gidansu a dajin Sambisa yake, wato inda 'yan ƙungiyar Boko Haram su ke, shi kuma ya ce ba zai je Sambisa ba",media_and_online,Actors in a film,public_interest,,safe,false,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/c62v7mx80g5o,2026-01-25T09:07:36.972Z,"A ranar Juma'a ne gwamnan jihar Kano Abba Kabir Yusuf ya sanar da ficewarsa daga jam'iyyar NNPP a hukumance, wadda a karkashinta ne aka zabe shi a matsayin gwamna.",media_and_online,news_reporting,public_interest,,safe,true,,69de1b86-4a0b-4043-b1e5-801572f08b7f,Collected from BBC Hausa
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c98jg700y8et,2026-01-25T09:07:35.972Z,"Robert Beugré Mambé, mai shekaru 72, wanda aka sake naɗawa a matsayin Firaministan Ivory Coast a farkon wannan makon, ya jaddada cewa sabuwar majalisar za ta ba da fifiko kan muradun jama'a da hadin kan ƙasa da kuma ci gaban tattalin arziki.",media_and_online,news_reporting,public_interest,,safe,true,,86eef419-3bc3-40df-a6df-2e6f48fa8c5e,Collected from BBC Hausa
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"But me yasa mijin ki yake behaving yanda yake yi?"" Humainah bata kalleta ba bare ta sa ran amsa, aka bude kofar parlorn Junaid ya shigo don dama yana waje, kallon mamaki yake masu can ya karaso parlon ya xauna yana kallon Humainah yace ""Did you cook with me"" kan tace komai Zahrah ta amshe tace ""Of course No, not with her condition, just go get something outside to take!"" Kallon Zahrah kawai yake can ya mike ya nufi stairs sai a snn yayi murmushi ya haura sama",household_and_care,Conversation and behavior,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Da zarar ka matsa, aiki ya kare maka, sai dai sauraro",livelihoods_and_work,Work completion,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Yana jiran tsammani, tare da fatan likita zai fito da labari mai daɗiAn sauya dukkanin sunaye a wannan rahoton don kare su",health,medical news,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Domin karin bayani saurari cikakken rahotan Nasiru Adamu El-Hikaya,media_and_online,Nasiru Adamu El-Hikaya's reports,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Unknown,web_public,https://www.bbc.com/hausa,2026-03-13,URL: [URL],media_and_online,URL reference,public_interest,,safe,true,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Duk da cewa 'yan watanni ne bayan faruwar lamarin aka buga rahoton, ba a mayar da hankali a kansa ba",media_and_online,Delayed reporting,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Daga cikin abubuwan ambato da Alhaji Yusuf Maitama Sule ya bari a faɗin jahar Kano, a lokacin da ya riƙe ma’aikatar gandun da ji da ci gaban karkara (ma’aikatar da ya fi daɗewa a cikinta), akwai dashen bishiyoyi da ya ƙirƙiro, wanda aka yi a faɗin jahar Kano, idan aka shiga lunguna da saƙo-saƙo na faɗin tsohuwar jahar Kano, za a iya cin karo da bishiyoyi kamar maina/darbejiya, da kuma maɗaci, wannan, Ɗanmasani ne tushen aikin",culture_and_religion,Alhaji Yusuf Maitama Sule's legacy,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Yace duk jihar da mutum ya je zai ga an debo kananan ma'aikata an dorasu kan manya,livelihoods_and_work,employment hiring practices,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Daga hare-haren bama-bamai zuwa kutsen 'yan kasashen waje, ga sauran lokuta hudu da aka taɓa kai wa majalisar dokokin hari",governance_civic,Visiting foreign countries,public_interest,,safe,false,,,
