language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,id,notes
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,A ci gaba da mana addu'ar gamawa lafiya,culture_and_religion,prayer for health,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"A ranar Litinin 9 ga watan Maris farashin gangar ɗanyen mai ya kai $120, bayan fargaba kan katsewar jigilar mai sabida yaƙin, amma farashin ya sauka cikin gaggawa bayan shugaba Trump ya bayar da fatan yaƙin zai ƙare nan ba da jimawa ba.",livelihoods_and_work,Prices of vegetable oil,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"da zarar ka shigar da katin SIM a cikin wayar da ka sayo, nan take sai wayar ta nado su, don taimaka maka aiwatar da sadarwa cikin sauki",livelihoods_and_work,Activating a SIM card,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Baban Sadik ya kamata wannan kasida (Tsakanin Kwakwalwa da Zuciya…) ka mayar da ita zuwa littafi,culture_and_religion,Returning a literary work,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Daula ce da ta kafu ta hanyar faɗaɗa mulkinta cikin wasu ƙasashe a duniya, wanda ta fara a cikin ƙarni na goma sha biyar, sannan kuma ta ƙare a cikin ƙarni na ashirin a lokacin da ta damƙa ƙasar Hong-Kong ga China a shekarar 1997",governance_civic,Hausa Empire expansion,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"tsoron xama ke kadai kike a dakin da kike son su xauna da ke?"" Ta kallesa hade da gyada masa kai, yace ""Toh xan samo maki warce xata dinga taya ki xama ai kina so?"" Tana kallonsa tace ""Amma babba ce?"" Ya girgixa mata kai yace ""No yar yarinya ce kamar ki sai ta dinga taya ki xama kuna kwana ma tare"" sosai ta hade rai tace ""A'a bna so, xan iya xama ni kadai"" shiru yayi yana kallonta, can yace ""Saboda me?"" Ta mike tace ""Haka nan kawai, xan iya xama ni kadai abuna"" daga haka ta nufi kofa ya bi ta da kallo har ta fita, lumshe ido yayi ya bude yana naxarin abinda ta ce, Mikewa yayi shima ya fita daga dakin ya koma nasa",household_and_care,Asking for company,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,Aristotle ya samu gayyata daga sarkin Masadoniya (Macedonia) wato Sarki Philp na biyu (King Phili II) dan ya karantar da ɗansa Alexander wanda daga baya ya shahara ya zama Alexander the Great,education,Aristotle's education by King Philip II,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Mutum mai tarin gogayyar rayuwa irin wannan, ba zai rasa gudunmawar bayarwa",livelihoods_and_work,Resilience and perseverance,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"""Munci gaba da wannan ƙoƙari ne tun bayan karbo daliban makarantar akandiran gwamnti ta Ƙanƙara 344 da muka yi",education,Educational efforts,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Kuma d'aga wani anguwa kake?"" Nan jama'a suka fara cece kuce a wajen ana kallonsa, shiru yyi bae ce komae ba, can ya sauke ajiyar xuciya ya juya ya nufi motarsa cikin rashin kuxari, nn aka bi sa da kallo ana cewa ""Kun ga rashin gskyar knn, don da yana da ita da dole xae tsaya ya amsa tambayoyin da aka yi masa, kaiii Allah ya raba mu da sharrin mutum"" shi kam motarsa ya shiga ya ja ya bar wajen, nan aka fara watsewa kowa na fadin albarkacin bakin sa, wani tsoho ne ya karasa ya kunce mata daurin yana d'an ja da baya kadda ta cafkesa har ya gama ya bar wajen bata d'ago ba bare ta kallesa",culture_and_religion,Encounter with a stranger,public_interest,,safe,false,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/live/c98jg700y8et,2026-01-25T09:07:35.926Z,"A cikin wata sanarwa da Daraktan yaɗa labarai na rundunar sojojin Najeriya, Manjo Janar Michael Onoja ya fitar, ya bai wa al'ummar tabbacin ceto waɗanda aka sace cikin ƙoshin lafiya.",media_and_online,news_reporting,public_interest,,safe,true,,fcc38aca-550c-4d68-8cba-ef111113afa5,Collected from BBC Hausa
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,Wayar salula da Lafiyarka,health,health and wellbeing,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Sai dain rundunar sojin ba ta fito fili ta bayyana mutuwar kwamandojin nata ba, kodayake cikin wasu sanarwayi da ta fitar a baya-bayan nan ta amince da mutuwar dakarunta, cikin hare da wanda ta bayyana da ''jajirtaccen jagora''.",governance_civic,Military and leadership,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Lallai an samu ingancin zumunci a tsakanin jama'a, musamman a kasar Hausa",culture_and_religion,community relations,public_interest,,safe,false,,,
